id	annotation	C6_chemical_A1	C6_chemical_A3	C6_chemical_B1	C6_chemical_B2	C6_chemical_B3	C6_chemical_C1	C6_chemical_C2	C6_chemical_C3	C6_control_A1	C6_control_A3	C6_control_B1	C6_control_B2	C6_control_B3	C6_control_C1	C6_control_C2	C6_control_C3	L4_chemical_A1	L4_chemical_A2	L4_chemical_A3	L4_chemical_B1	L4_chemical_B2	L4_chemical_B3	L4_chemical_C2	L4_chemical_C3	L4_control_A1	L4_control_A2	L4_control_A3	L4_control_B1	L4_control_B2	L4_control_B3	L4_control_C2	L4_control_C3
LQ08X001900	Putative Predicted protein	11.98013443	12.06002938	9.075502073	6.607346996	8.561511535	6.463730018	6.083266693	6.687678368	12.68936044	12.62804266	11.18511136	8.236207092	8.168041298	6.589322776	6.108402246	7.021587515	11.12674746	10.7490448	12.37875437	8.670833442	10.06423397	10.45693365	5.630449198	5.970992278	12.66133574	12.72018926	12.86831227	7.203820383	10.62594556	7.317773262	5.626306727	5.462258233
LQ08X001930	Putative uncharacterized protein	5.092964741	5.140193952	4.959700193	5.231008438	5.054550744	6.128842793	5.312181633	5.854255593	4.809771211	5.273417057	5.234168311	5.251695261	4.781516969	6.469405743	5.374801564	5.125210242	6.872480584	5.33516331	6.04529853	5.291995603	5.237562551	5.965414336	6.132816119	6.176811613	6.214018051	5.532268426	5.445806984	5.797241226	5.016588148	5.803713493	5.48088891	5.062002272
LQ08X001940	Putative uncharacterized protein	5.398607641	5.672868578	5.485787192	5.377724741	5.990328081	5.038526702	4.915360634	5.184048372	5.790666059	6.198538602	5.505061648	5.339597364	5.513620395	5.049974145	5.262420686	5.061896707	5.729807442	5.407564124	6.385030064	5.483306883	5.713808313	5.402064044	4.837847568	5.012312021	5.938718764	5.86176425	6.118032683	4.928512322	5.29685975	5.495274914	5.488547009	5.513697778
LQ08X001941	Deoxyuridine 5-triphosphate nucleotidohydrolase	13.93129703	14.46786033	12.141963	11.31945211	12.1044874	12.06711259	11.60315371	11.38021187	14.77114501	14.70726465	13.54080255	11.88129979	12.13878509	11.9513965	11.75357786	12.01191667	13.80253644	12.43405529	14.33596794	12.85462175	12.78042781	13.27373062	12.40780768	11.67389137	15.0633635	14.39826385	14.23819257	12.47075494	12.81215553	11.52093431	12.33817491	11.68867773
LQ08X001960	Glucose-6-phosphate isomerase, cytosolic	5.467614604	5.450392005	5.219325009	5.70693548	5.574332819	5.215879283	5.511171036	5.505472672	5.294730251	5.124277718	5.521014859	5.169117329	5.343050883	5.10259899	5.996418622	5.777117145	5.281608521	5.285386139	5.933955756	5.229607887	5.483057484	5.238140954	5.316419562	5.829549317	4.673423216	5.243981905	5.194364236	5.441068276	5.198831758	5.255473714	4.961816973	7.158672904
LQ08X001980	Glucan endo-1,3-beta-glucosidase 7	12.90536153	13.50873199	11.3438283	10.75324739	10.33026273	10.05581742	9.733331293	8.810108655	12.51655233	13.16720952	11.57002748	10.81060555	10.43724692	9.945557082	9.665469485	9.826420654	11.9498323	12.27952243	13.39569302	11.64670468	11.32711865	11.66233098	9.772111267	9.283968053	12.46895278	12.80667498	13.66749448	10.82529375	11.35711991	10.3264597	9.73722443	9.081880462
LQ08X002000	Hypothetical protein	5.083752079	5.365506518	4.912411393	4.855682021	4.641016449	4.732873306	4.87708304	4.763815336	5.031807318	5.081352712	5.120853333	4.975442218	5.032065053	4.760430464	4.877086254	4.928646501	4.993352342	5.070072113	5.056755004	4.915062893	5.670786599	4.821007994	5.095238875	5.020333311	4.727462005	5.099074554	5.134861173	5.014398331	4.9683283	4.846146912	5.309990236	4.696555231
LQ08X002010	Predicted protein	7.707490078	7.960846599	7.541771679	8.717107691	7.706832991	7.746165322	8.287191616	8.20158237	7.901126792	7.906189123	7.721925249	8.700889774	7.816361029	7.859886502	8.431473451	8.333074043	7.442873544	7.588935184	7.605001905	7.453881131	8.01594239	8.171608429	7.545515923	7.506270627	7.674151905	8.089015574	7.532170965	7.61282641	7.274262692	7.860217443	6.930363442	7.446444271
LQ08X002030	Predicted protein	12.73154037	13.26598002	13.11180251	12.87859438	13.16738441	13.5225045	13.62818399	14.11264035	12.78230234	12.89470832	12.77038628	12.49185133	12.97905212	12.98637507	13.251364	12.94510124	13.25796096	13.72698336	13.22615083	13.26664122	13.36389144	13.27627242	13.56372857	14.11284684	12.5125163	12.84009693	13.3766587	13.18465586	13.1819484	13.12043307	13.24149044	13.65698011
LQ08X002040	Phosphopantothenoylcysteine decarboxylase	11.31218592	11.68865772	11.15911356	11.25614169	11.17906731	11.52683442	11.55721479	11.50606669	11.6437085	11.66892096	11.48736239	11.63864957	11.14275071	11.51748645	11.45702131	11.30067745	11.48544621	11.36161096	10.99415177	11.22043162	11.24046225	11.14874198	10.89328777	10.80756102	11.68256529	11.70099594	11.05613655	11.10712251	10.67920346	10.85124936	10.8741554	10.21586448
